dataset_group,file_name,structure_name,metal_guess,redox_state_guess,monomer_guess,ts_label_guess,atom_index,element,atom_role,notes
catalysts,Al-salfan-H2-star-ox.out,Al-salfan-H2-star-ox,Al,ox,,,1,C,ferrocene_C,
catalysts,Al-salfan-H2-star-ox.out,Al-salfan-H2-star-ox,Al,ox,,,2,C,ferrocene_C,
catalysts,Al-salfan-H2-star-ox.out,Al-salfan-H2-star-ox,Al,ox,,,3,C,ferrocene_C,
catalysts,Al-salfan-H2-star-ox.out,Al-salfan-H2-star-ox,Al,ox,,,4,C,ferrocene_C,
catalysts,Al-salfan-H2-star-ox.out,Al-salfan-H2-star-ox,Al,ox,,,5,C,ferrocene_C,
catalysts,Al-salfan-H2-star-ox.out,Al-salfan-H2-star-ox,Al,ox,,,6,Fe,ferrocene_Fe,
catalysts,Al-salfan-H2-star-ox.out,Al-salfan-H2-star-ox,Al,ox,,,7,C,ferrocene_C,
catalysts,Al-salfan-H2-star-ox.out,Al-salfan-H2-star-ox,Al,ox,,,8,C,ferrocene_C,
catalysts,Al-salfan-H2-star-ox.out,Al-salfan-H2-star-ox,Al,ox,,,9,C,ferrocene_C,
catalysts,Al-salfan-H2-star-ox.out,Al-salfan-H2-star-ox,Al,ox,,,10,C,ferrocene_C,
catalysts,Al-salfan-H2-star-ox.out,Al-salfan-H2-star-ox,Al,ox,,,11,C,ferrocene_C,
catalysts,Al-salfan-H2-star-ox.out,Al-salfan-H2-star-ox,Al,ox,,,12,O,phenoxy_O,
catalysts,Al-salfan-H2-star-ox.out,Al-salfan-H2-star-ox,Al,ox,,,13,C,,
catalysts,Al-salfan-H2-star-ox.out,Al-salfan-H2-star-ox,Al,ox,,,14,C,,
catalysts,Al-salfan-H2-star-ox.out,Al-salfan-H2-star-ox,Al,ox,,,15,C,,
catalysts,Al-salfan-H2-star-ox.out,Al-salfan-H2-star-ox,Al,ox,,,16,C,,
catalysts,Al-salfan-H2-star-ox.out,Al-salfan-H2-star-ox,Al,ox,,,17,C,,
catalysts,Al-salfan-H2-star-ox.out,Al-salfan-H2-star-ox,Al,ox,,,18,C,,
catalysts,Al-salfan-H2-star-ox.out,Al-salfan-H2-star-ox,Al,ox,,,19,O,phenoxy_O,
catalysts,Al-salfan-H2-star-ox.out,Al-salfan-H2-star-ox,Al,ox,,,20,C,,
catalysts,Al-salfan-H2-star-ox.out,Al-salfan-H2-star-ox,Al,ox,,,21,C,,
catalysts,Al-salfan-H2-star-ox.out,Al-salfan-H2-star-ox,Al,ox,,,22,C,,
catalysts,Al-salfan-H2-star-ox.out,Al-salfan-H2-star-ox,Al,ox,,,23,C,,
catalysts,Al-salfan-H2-star-ox.out,Al-salfan-H2-star-ox,Al,ox,,,24,C,,
catalysts,Al-salfan-H2-star-ox.out,Al-salfan-H2-star-ox,Al,ox,,,25,C,,
catalysts,Al-salfan-H2-star-ox.out,Al-salfan-H2-star-ox,Al,ox,,,26,O,alkoxide_O,
catalysts,Al-salfan-H2-star-ox.out,Al-salfan-H2-star-ox,Al,ox,,,27,C,,
catalysts,Al-salfan-H2-star-ox.out,Al-salfan-H2-star-ox,Al,ox,,,28,H,,
