dataset_group,file_name,structure_name,metal_guess,redox_state_guess,monomer_guess,ts_label_guess,atom_index,element,atom_role,notes,x,y,z
catalysts,Al-salfan-H2-star-ox.out,Al-salfan-H2-star-ox,Al,ox,,,39,N,donor_N,,-2.259389,0.108072,1.00991
catalysts,Al-salfan-H2-star-ox.out,Al-salfan-H2-star-ox,Al,ox,,,40,N,donor_N,,1.052191,0.036811,-0.400546
catalysts,Al-salfan-H2-star-ox.out,Al-salfan-H2-star-ox,Al,ox,,,6,Fe,ferrocene_Fe,,-1.025252,-2.391447,-0.205031
catalysts,Al-salfan-H2-star-ox.out,Al-salfan-H2-star-ox,Al,ox,,,44,Al,metal_center,,0.676264,0.947085,1.421998
catalysts,Al-salfan-H2-star-ox.out,Al-salfan-H2-star-ox,Al,ox,,,12,O,relevant_O,,2.383825,1.365923,1.562452
catalysts,Al-salfan-H2-star-ox.out,Al-salfan-H2-star-ox,Al,ox,,,19,O,relevant_O,,-0.453003,2.207447,0.954049
catalysts,Al-salfan-H2-star-ox.out,Al-salfan-H2-star-ox,Al,ox,,,26,O,relevant_O,,-0.042912,-0.053703,2.634896
catalysts,Al-salfan-H2-star-red.out,Al-salfan-H2-star-red,Al,red,,,39,N,donor_N,,1.783086,-0.244683,0.976812
catalysts,Al-salfan-H2-star-red.out,Al-salfan-H2-star-red,Al,red,,,40,N,donor_N,,-0.88292,0.16652,-0.463917
catalysts,Al-salfan-H2-star-red.out,Al-salfan-H2-star-red,Al,red,,,6,Fe,ferrocene_Fe,,1.101436,2.483117,-0.338094
catalysts,Al-salfan-H2-star-red.out,Al-salfan-H2-star-red,Al,red,,,44,Al,metal_center,,-0.390301,-0.591545,1.432202
catalysts,Al-salfan-H2-star-red.out,Al-salfan-H2-star-red,Al,red,,,12,O,relevant_O,,0.117136,0.231859,2.906604
catalysts,Al-salfan-H2-star-red.out,Al-salfan-H2-star-red,Al,red,,,14,O,relevant_O,,-2.200659,-0.743117,1.679648
catalysts,Al-salfan-H2-star-red.out,Al-salfan-H2-star-red,Al,red,,,21,O,relevant_O,,0.056432,-2.270971,0.911584
catalysts,Ti-salfen-ox.out,Ti-salfen-ox,Ti,ox,,,4,N,donor_N,,1.735404,0.825149,-0.626956
catalysts,Ti-salfen-ox.out,Ti-salfen-ox,Ti,ox,,,30,N,donor_N,,-1.736171,0.824225,0.627717
catalysts,Ti-salfen-ox.out,Ti-salfen-ox,Ti,ox,,,1,Fe,ferrocene_Fe,,-0.001442,3.326646,-0.000209
catalysts,Ti-salfen-ox.out,Ti-salfen-ox,Ti,ox,,,54,Ti,metal_center,,8.6e-05,-0.534589,0.000936
catalysts,Ti-salfen-ox.out,Ti-salfen-ox,Ti,ox,,,2,O,relevant_O,,0.651791,-0.148857,1.677923
catalysts,Ti-salfen-ox.out,Ti-salfen-ox,Ti,ox,,,3,O,relevant_O,,1.320423,-1.872692,-0.326007
catalysts,Ti-salfen-ox.out,Ti-salfen-ox,Ti,ox,,,28,O,relevant_O,,-0.651556,-0.15052,-1.676311
catalysts,Ti-salfen-ox.out,Ti-salfen-ox,Ti,ox,,,29,O,relevant_O,,-1.31911,-1.873354,0.329185
catalysts,Ti-salfen-red.out,Ti-salfen-red,Ti,red,,,4,N,donor_N,,-1.47469,0.879592,0.634097
catalysts,Ti-salfen-red.out,Ti-salfen-red,Ti,red,,,30,N,donor_N,,1.712626,0.790409,-0.696734
catalysts,Ti-salfen-red.out,Ti-salfen-red,Ti,red,,,1,Fe,ferrocene_Fe,,0.23925,3.341027,0.016553
catalysts,Ti-salfen-red.out,Ti-salfen-red,Ti,red,,,54,Ti,metal_center,,0.036551,-0.647737,-0.166427
catalysts,Ti-salfen-red.out,Ti-salfen-red,Ti,red,,,2,O,relevant_O,,-0.817184,-0.316003,-1.76546
catalysts,Ti-salfen-red.out,Ti-salfen-red,Ti,red,,,3,O,relevant_O,,-1.330958,-1.888076,0.37518
catalysts,Ti-salfen-red.out,Ti-salfen-red,Ti,red,,,28,O,relevant_O,,0.692042,-0.597115,1.574383
catalysts,Ti-salfen-red.out,Ti-salfen-red,Ti,red,,,29,O,relevant_O,,1.322518,-1.915283,-0.761344
catalysts,Zr-salfan-ox.out,Zr-salfan-ox,Zr,ox,,,12,N,donor_N,,-1.315166,0.859764,-1.065768
catalysts,Zr-salfan-ox.out,Zr-salfan-ox,Zr,ox,,,13,N,donor_N,,1.925348,-0.100326,1.870459
catalysts,Zr-salfan-ox.out,Zr-salfan-ox,Zr,ox,,,6,Fe,ferrocene_Fe,,1.605678,2.303378,-0.334489
