dataset_group,file_name,structure_name,metal_guess,redox_state_guess,monomer_guess,ts_label_guess,atom_index,element,atom_role,notes,x,y,z
catalysts,Al-salfan-H2-star-ox.out,Al-salfan-H2-star-ox,Al,ox,,,26,O,alkoxide_O,,-0.042912,-0.053703,2.634896
catalysts,Al-salfan-H2-star-ox.out,Al-salfan-H2-star-ox,Al,ox,,,39,N,donor_N,,-2.259389,0.108072,1.00991
catalysts,Al-salfan-H2-star-ox.out,Al-salfan-H2-star-ox,Al,ox,,,40,N,donor_N,,1.052191,0.036811,-0.400546
catalysts,Al-salfan-H2-star-ox.out,Al-salfan-H2-star-ox,Al,ox,,,1,C,ferrocene_C,,-2.887923,-1.675566,-0.663736
catalysts,Al-salfan-H2-star-ox.out,Al-salfan-H2-star-ox,Al,ox,,,2,C,ferrocene_C,,-2.516271,-1.183433,0.64023
catalysts,Al-salfan-H2-star-ox.out,Al-salfan-H2-star-ox,Al,ox,,,3,C,ferrocene_C,,-2.190431,-2.321597,1.467458
catalysts,Al-salfan-H2-star-ox.out,Al-salfan-H2-star-ox,Al,ox,,,4,C,ferrocene_C,,-2.470124,-3.500755,0.710606
catalysts,Al-salfan-H2-star-ox.out,Al-salfan-H2-star-ox,Al,ox,,,5,C,ferrocene_C,,-2.894386,-3.104969,-0.597787
catalysts,Al-salfan-H2-star-ox.out,Al-salfan-H2-star-ox,Al,ox,,,7,C,ferrocene_C,,0.237574,-1.949417,-1.79124
catalysts,Al-salfan-H2-star-ox.out,Al-salfan-H2-star-ox,Al,ox,,,8,C,ferrocene_C,,0.7396,-1.363684,-0.590164
catalysts,Al-salfan-H2-star-ox.out,Al-salfan-H2-star-ox,Al,ox,,,9,C,ferrocene_C,,0.949653,-2.391467,0.379819
catalysts,Al-salfan-H2-star-ox.out,Al-salfan-H2-star-ox,Al,ox,,,10,C,ferrocene_C,,0.604562,-3.635629,-0.243405
catalysts,Al-salfan-H2-star-ox.out,Al-salfan-H2-star-ox,Al,ox,,,11,C,ferrocene_C,,0.16191,-3.362947,-1.577324
catalysts,Al-salfan-H2-star-ox.out,Al-salfan-H2-star-ox,Al,ox,,,6,Fe,ferrocene_Fe,,-1.025252,-2.391447,-0.205031
catalysts,Al-salfan-H2-star-ox.out,Al-salfan-H2-star-ox,Al,ox,,,44,Al,metal_center,,0.676264,0.947085,1.421998
catalysts,Al-salfan-H2-star-ox.out,Al-salfan-H2-star-ox,Al,ox,,,12,O,phenoxy_O,,2.383825,1.365923,1.562452
catalysts,Al-salfan-H2-star-ox.out,Al-salfan-H2-star-ox,Al,ox,,,19,O,phenoxy_O,,-0.453003,2.207447,0.954049
catalysts,Al-salfan-H2-star-red.out,Al-salfan-H2-star-red,Al,red,,,12,O,alkoxide_O,,0.117136,0.231859,2.906604
catalysts,Al-salfan-H2-star-red.out,Al-salfan-H2-star-red,Al,red,,,39,N,donor_N,,1.783086,-0.244683,0.976812
catalysts,Al-salfan-H2-star-red.out,Al-salfan-H2-star-red,Al,red,,,40,N,donor_N,,-0.88292,0.16652,-0.463917
catalysts,Al-salfan-H2-star-red.out,Al-salfan-H2-star-red,Al,red,,,1,C,ferrocene_C,,2.765138,1.39904,-0.749881
catalysts,Al-salfan-H2-star-red.out,Al-salfan-H2-star-red,Al,red,,,2,C,ferrocene_C,,2.240893,1.033766,0.535463
catalysts,Al-salfan-H2-star-red.out,Al-salfan-H2-star-red,Al,red,,,3,C,ferrocene_C,,2.196477,2.209759,1.356065
catalysts,Al-salfan-H2-star-red.out,Al-salfan-H2-star-red,Al,red,,,4,C,ferrocene_C,,2.719622,3.300085,0.587408
catalysts,Al-salfan-H2-star-red.out,Al-salfan-H2-star-red,Al,red,,,5,C,ferrocene_C,,3.069649,2.802585,-0.710494
catalysts,Al-salfan-H2-star-red.out,Al-salfan-H2-star-red,Al,red,,,7,C,ferrocene_C,,-0.139117,2.158939,-1.906281
catalysts,Al-salfan-H2-star-red.out,Al-salfan-H2-star-red,Al,red,,,8,C,ferrocene_C,,-0.63154,1.567732,-0.694307
catalysts,Al-salfan-H2-star-red.out,Al-salfan-H2-star-red,Al,red,,,9,C,ferrocene_C,,-0.827148,2.60096,0.279587
catalysts,Al-salfan-H2-star-red.out,Al-salfan-H2-star-red,Al,red,,,10,C,ferrocene_C,,-0.432435,3.836548,-0.328328
catalysts,Al-salfan-H2-star-red.out,Al-salfan-H2-star-red,Al,red,,,11,C,ferrocene_C,,-0.006098,3.565284,-1.670757
catalysts,Al-salfan-H2-star-red.out,Al-salfan-H2-star-red,Al,red,,,6,Fe,ferrocene_Fe,,1.101436,2.483117,-0.338094
catalysts,Al-salfan-H2-star-red.out,Al-salfan-H2-star-red,Al,red,,,44,Al,metal_center,,-0.390301,-0.591545,1.432202
catalysts,Al-salfan-H2-star-red.out,Al-salfan-H2-star-red,Al,red,,,14,O,phenoxy_O,,-2.200659,-0.743117,1.679648
catalysts,Al-salfan-H2-star-red.out,Al-salfan-H2-star-red,Al,red,,,21,O,phenoxy_O,,0.056432,-2.270971,0.911584
catalysts,Al-salfan-star-red.out,Al-salfan-star-red,Al,red,,,12,O,alkoxide_O,,-0.394714,0.156892,2.59805
catalysts,Al-salfan-star-red.out,Al-salfan-star-red,Al,red,,,39,N,donor_N,,1.869262,-0.05575,1.058995
catalysts,Al-salfan-star-red.out,Al-salfan-star-red,Al,red,,,40,N,donor_N,,-1.030127,-0.057687,-0.625046
catalysts,Al-salfan-star-red.out,Al-salfan-star-red,Al,red,,,1,C,ferrocene_C,,2.492115,1.87625,-0.55381
catalysts,Al-salfan-star-red.out,Al-salfan-star-red,Al,red,,,2,C,ferrocene_C,,1.995096,1.328357,0.680952
catalysts,Al-salfan-star-red.out,Al-salfan-star-red,Al,red,,,3,C,ferrocene_C,,1.653502,2.423817,1.544542
catalysts,Al-salfan-star-red.out,Al-salfan-star-red,Al,red,,,4,C,ferrocene_C,,1.971423,3.641627,0.860728
catalysts,Al-salfan-star-red.out,Al-salfan-star-red,Al,red,,,5,C,ferrocene_C,,2.486713,3.305945,-0.433226
catalysts,Al-salfan-star-red.out,Al-salfan-star-red,Al,red,,,7,C,ferrocene_C,,-0.478811,2.150352,-1.853519
catalysts,Al-salfan-star-red.out,Al-salfan-star-red,Al,red,,,8,C,ferrocene_C,,-0.915397,1.381931,-0.719357
catalysts,Al-salfan-star-red.out,Al-salfan-star-red,Al,red,,,9,C,ferrocene_C,,-1.323164,2.28552,0.3161
catalysts,Al-salfan-star-red.out,Al-salfan-star-red,Al,red,,,10,C,ferrocene_C,,-1.126785,3.615243,-0.172806
catalysts,Al-salfan-star-red.out,Al-salfan-star-red,Al,red,,,11,C,ferrocene_C,,-0.600733,3.533728,-1.50373
catalysts,Al-salfan-star-red.out,Al-salfan-star-red,Al,red,,,6,Fe,ferrocene_Fe,,0.618762,2.555935,-0.195476
catalysts,Al-salfan-star-red.out,Al-salfan-star-red,Al,red,,,44,Al,metal_center,,-0.296302,-0.892455,1.192701
catalysts,Al-salfan-star-red.out,Al-salfan-star-red,Al,red,,,14,O,phenoxy_O,,-1.923372,-1.763261,1.287879
catalysts,Al-salfan-star-red.out,Al-salfan-star-red,Al,red,,,21,O,phenoxy_O,,0.628571,-2.365481,0.670211
catalysts,Al-salfen-ox.out,Al-salfen-ox,Al,ox,,,25,O,alkoxide_O,,0.576631,-0.149514,2.152425
catalysts,Al-salfen-ox.out,Al-salfen-ox,Al,ox,,,3,N,donor_N,,-1.642051,0.453888,0.843455
catalysts,Al-salfen-ox.out,Al-salfen-ox,Al,ox,,,27,N,donor_N,,1.057826,0.81355,-0.749898
catalysts,Al-salfen-ox.out,Al-salfen-ox,Al,ox,,,4,C,ferrocene_C,,-1.68256,1.82064,1.174102
catalysts,Al-salfen-ox.out,Al-salfen-ox,Al,ox,,,5,C,ferrocene_C,,-2.689261,2.761256,0.745366
catalysts,Al-salfen-ox.out,Al-salfen-ox,Al,ox,,,7,C,ferrocene_C,,-2.225273,4.07287,1.063309
catalysts,Al-salfen-ox.out,Al-salfen-ox,Al,ox,,,9,C,ferrocene_C,,-0.944643,3.955178,1.687627
catalysts,Al-salfen-ox.out,Al-salfen-ox,Al,ox,,,11,C,ferrocene_C,,-0.595646,2.569273,1.754926
