file_name,structure_name,metal_guess,redox_state_guess,atom_count
Al-salfan-H2-star-ox.out,Al-salfan-H2-star-ox,Al,ox,63
Al-salfan-H2-star-red.out,Al-salfan-H2-star-red,Al,red,63
Al-salfan-star-red.out,Al-salfan-star-red,Al,red,69
Al-salfen-ox.out,Al-salfen-ox,Al,ox,65
Al-salfen-red.out,Al-salfen-red,Al,red,65
Al-thiolfan-star-ox.out,Al-thiolfan-star-ox,Al,ox,61
Al-thiolfan-star-red.out,Al-thiolfan-star-red,Al,red,61
Ti-salfan-H2-ox.out,Ti-salfan-H2-ox,Ti,ox,74
Ti-salfan-H2-red.out,Ti-salfan-H2-red,Ti,red,74
Ti-salfan-H2-star-ox.out,Ti-salfan-H2-star-ox,Ti,ox,68
Ti-salfan-H2-star-red.out,Ti-salfan-H2-star-red,Ti,red,68
Ti-salfan-star-red.out,Ti-salfan-star-red,Ti,red,74
Ti-salfen-ox.out,Ti-salfen-ox,Ti,ox,70
Ti-salfen-red.out,Ti-salfen-red,Ti,red,70
Ti-thiolfan-star-ox.out,Ti-thiolfan-star-ox,Ti,ox,66
Ti-thiolfan-star-red.out,Ti-thiolfan-star-red,Ti,red,66
Y-phosphen-red.out,Y-phosphen-red,Y,red,107
Y-salfen-ox.out,Y-salfen-ox,Y,ox,65
Y-salfen-red.out,Y-salfen-red,Y,red,65
Zr-salfan-H2-ox.out,Zr-salfan-H2-ox,Zr,ox,74
Zr-salfan-H2-red.out,Zr-salfan-H2-red,Zr,red,74
Zr-salfan-H2-star-ox.out,Zr-salfan-H2-star-ox,Zr,ox,68
Zr-salfan-H2-star-red.out,Zr-salfan-H2-star-red,Zr,red,68
Zr-salfan-ox.out,Zr-salfan-ox,Zr,ox,80
Zr-salfan-red.out,Zr-salfan-red,Zr,red,80
Zr-salfan-star-ox.out,Zr-salfan-star-ox,Zr,ox,74
Zr-salfan-star-red.out,Zr-salfan-star-red,Zr,red,74
Zr-salfen-ox.out,Zr-salfen-ox,Zr,ox,70
Zr-salfen-red.out,Zr-salfen-red,Zr,red,70
Zr-thiolfan-ox.out,Zr-thiolfan-ox,Zr,ox,72
Zr-thiolfan-red.out,Zr-thiolfan-red,Zr,red,72
Zr-thiolfan-star-ox.out,Zr-thiolfan-star-ox,Zr,ox,66
Zr-thiolfan-star-red.out,Zr-thiolfan-star-red,Zr,red,66
