dataset_group,file_name,structure_name,metal_guess,redox_state_guess,monomer_guess,ts_label_guess,atom_index,element,atom_role,notes
transition_states,Al-salfen-ox-CL-TS1.out,Al-salfen-ox-CL-TS1,Al,ox,CL,TS1,1,Fe,ferrocene_Fe,
transition_states,Al-salfen-ox-CL-TS1.out,Al-salfen-ox-CL-TS1,Al,ox,CL,TS1,2,O,phenoxy_O,
transition_states,Al-salfen-ox-CL-TS1.out,Al-salfen-ox-CL-TS1,Al,ox,CL,TS1,3,N,donor_N,
transition_states,Al-salfen-ox-CL-TS1.out,Al-salfen-ox-CL-TS1,Al,ox,CL,TS1,4,C,ferrocene_C,
transition_states,Al-salfen-ox-CL-TS1.out,Al-salfen-ox-CL-TS1,Al,ox,CL,TS1,5,C,ferrocene_C,
transition_states,Al-salfen-ox-CL-TS1.out,Al-salfen-ox-CL-TS1,Al,ox,CL,TS1,6,H,,
transition_states,Al-salfen-ox-CL-TS1.out,Al-salfen-ox-CL-TS1,Al,ox,CL,TS1,7,C,ferrocene_C,
transition_states,Al-salfen-ox-CL-TS1.out,Al-salfen-ox-CL-TS1,Al,ox,CL,TS1,8,H,,
transition_states,Al-salfen-ox-CL-TS1.out,Al-salfen-ox-CL-TS1,Al,ox,CL,TS1,9,C,ferrocene_C,
transition_states,Al-salfen-ox-CL-TS1.out,Al-salfen-ox-CL-TS1,Al,ox,CL,TS1,10,H,,
transition_states,Al-salfen-ox-CL-TS1.out,Al-salfen-ox-CL-TS1,Al,ox,CL,TS1,11,C,ferrocene_C,
transition_states,Al-salfen-ox-CL-TS1.out,Al-salfen-ox-CL-TS1,Al,ox,CL,TS1,12,H,,
transition_states,Al-salfen-ox-CL-TS1.out,Al-salfen-ox-CL-TS1,Al,ox,CL,TS1,13,C,,
transition_states,Al-salfen-ox-CL-TS1.out,Al-salfen-ox-CL-TS1,Al,ox,CL,TS1,14,H,,
transition_states,Al-salfen-ox-CL-TS1.out,Al-salfen-ox-CL-TS1,Al,ox,CL,TS1,15,C,,
transition_states,Al-salfen-ox-CL-TS1.out,Al-salfen-ox-CL-TS1,Al,ox,CL,TS1,16,C,,
transition_states,Al-salfen-ox-CL-TS1.out,Al-salfen-ox-CL-TS1,Al,ox,CL,TS1,17,C,,
transition_states,Al-salfen-ox-CL-TS1.out,Al-salfen-ox-CL-TS1,Al,ox,CL,TS1,18,C,,
transition_states,Al-salfen-ox-CL-TS1.out,Al-salfen-ox-CL-TS1,Al,ox,CL,TS1,19,H,,
transition_states,Al-salfen-ox-CL-TS1.out,Al-salfen-ox-CL-TS1,Al,ox,CL,TS1,20,C,,
transition_states,Al-salfen-ox-CL-TS1.out,Al-salfen-ox-CL-TS1,Al,ox,CL,TS1,21,C,,
transition_states,Al-salfen-ox-CL-TS1.out,Al-salfen-ox-CL-TS1,Al,ox,CL,TS1,22,H,,
transition_states,Al-salfen-ox-CL-TS1.out,Al-salfen-ox-CL-TS1,Al,ox,CL,TS1,23,C,,
transition_states,Al-salfen-ox-CL-TS1.out,Al-salfen-ox-CL-TS1,Al,ox,CL,TS1,24,H,,
transition_states,Al-salfen-ox-CL-TS1.out,Al-salfen-ox-CL-TS1,Al,ox,CL,TS1,25,H,,
