dataset_group,file_name,structure_name,metal_guess,redox_state_guess,monomer_guess,ts_label_guess,atom_index,element,atom_role,notes,x,y,z
transition_states,Al-salfen-ox-CL-TS1.out,Al-salfen-ox-CL-TS1,Al,ox,CL,TS1,31,O,alkoxide_O,,-0.067369,1.936891,0.920651
transition_states,Al-salfen-ox-CL-TS1.out,Al-salfen-ox-CL-TS1,Al,ox,CL,TS1,3,N,donor_N,,0.990728,-0.67979,1.387592
transition_states,Al-salfen-ox-CL-TS1.out,Al-salfen-ox-CL-TS1,Al,ox,CL,TS1,33,N,donor_N,,0.09962,-1.258196,-1.445286
transition_states,Al-salfen-ox-CL-TS1.out,Al-salfen-ox-CL-TS1,Al,ox,CL,TS1,4,C,ferrocene_C,,2.291362,-1.195431,1.232202
transition_states,Al-salfen-ox-CL-TS1.out,Al-salfen-ox-CL-TS1,Al,ox,CL,TS1,5,C,ferrocene_C,,3.424853,-0.546843,0.614771
transition_states,Al-salfen-ox-CL-TS1.out,Al-salfen-ox-CL-TS1,Al,ox,CL,TS1,7,C,ferrocene_C,,4.508833,-1.485664,0.613911
transition_states,Al-salfen-ox-CL-TS1.out,Al-salfen-ox-CL-TS1,Al,ox,CL,TS1,9,C,ferrocene_C,,4.049897,-2.710854,1.19035
transition_states,Al-salfen-ox-CL-TS1.out,Al-salfen-ox-CL-TS1,Al,ox,CL,TS1,11,C,ferrocene_C,,2.687647,-2.536719,1.575231
transition_states,Al-salfen-ox-CL-TS1.out,Al-salfen-ox-CL-TS1,Al,ox,CL,TS1,34,C,ferrocene_C,,1.289782,-1.968482,-1.697303
transition_states,Al-salfen-ox-CL-TS1.out,Al-salfen-ox-CL-TS1,Al,ox,CL,TS1,35,C,ferrocene_C,,1.555565,-3.361737,-1.472567
transition_states,Al-salfen-ox-CL-TS1.out,Al-salfen-ox-CL-TS1,Al,ox,CL,TS1,37,C,ferrocene_C,,2.890978,-3.62768,-1.907227
transition_states,Al-salfen-ox-CL-TS1.out,Al-salfen-ox-CL-TS1,Al,ox,CL,TS1,39,C,ferrocene_C,,3.455997,-2.405783,-2.392849
